α	Pr	α
Σεμέλας	n-p---fa-	Σεμέλη
Σεμέλας	n-s---fg-	Σεμέλη
σεμνά	a-s---fn-	σεμνός
σεμνὰ	a-p---na-	σεμνός
σεμνὰ	a-p---nn-	σεμνός
σεμνὰ	a-s---fn-	σεμνός
σεμνὰν	a-s---fa-	σεμνός
σεμνάς	a-p---fa-	σεμνός
σεμνὰς	a-p---fa-	σεμνός
σεσωφρονισμένως	Df	σεσωφρονισμένως
σήραντες	v-papamn-	σήρω
σιγᾶις	V-	σιγᾶις
ἐσιγήθη	V-	σιγάω
σιγώσῃ	V-	σιγώω
σκάπτει	V-	σκάπτω
σκηνάν	n-s---fa-	σκηνή
σκηνάς	n-p---fa-	σκηνή
σκηνὰς	n-p---fa-	σκηνή
σκήψας	v-sapamn-	σκήπτω
σκήψασα	v-sapafn-	σκήπτω
σκληρά	a-s---fv-	σκληρός
σκληρὰ	a-p---na-	σκληρός
σκληρὰ	a-p---nn-	σκληρός
σκληρὰν	a-s---fa-	σκληρός
Σκληρὰν	a-s---fa-	σκληρός
σκοπιὰς	Nb	σκοπιὰ
σκοτίους	a-p---ma-	σκοτῖος
Σκύθης	Nb	σκύθης
σκύλοις	n-p---nd-	σκῦλον
σκύμνον	Nb	σκύμνος
σαν	a-s---fa-	σος
σά	a-p---nn-	σός
σά	a-p---na-	σός
σὰ	a-s---fn-	σός
σὰ	a-p---na-	σός
σὰ	a-p---nn-	σός
σὰν	a-s---fa-	σός
σὰν	n-s---fa-	σός
σάς	a-p---fa-	σός
σὰς	a-p---fa-	σός
σὰς	a-s---fg-	σός
σοφιστῆι	Nb	σοφιστῆς
σοφά	a-p---nn-	σοφός
σοφά	a-s---fn-	σοφός
σοφά	a-p---na-	σοφός
σοφὰ	a-p---na-	σοφός
σοφὰ	a-p---nn-	σοφός
σοφὰν	a-s---fa-	σοφός
σοφὰς	a-p---fa-	σοφός
σοφώτατον	a-s---nns	σοφός
σοφωτέρα	A-	σοφωτέρα
σπάργαν	Nb	σπάργαν
σπάσαν	V-	σπάσαν
σπασμοῖσι	Nb	σπασμοῖσι
σπονδάς	n-p---fa-	σπονδή
σπονδὰς	n-p---fa-	σπονδή
σπουδάζομεν	V-	σπουδάζω
ἔσταζεν	V-	στάζω
σταθμὰ	Nb	σταθμὰ
στέγας	Nb	στέγη
στέγας	n-p---fa-	στέγη
στέγας	n-s---fg-	στέγη
στέγα	n-p---nn-	στέγον
στάθητε	v2paip---	στέθνω
ἐστάλη	v3saip---	στέλλω
ἐστάλην	v1saip---	στέλλω
ἐσταλμένον	v-srpenn-	στέλλω
ἐστειλάμην	v1saim---	στέλλω
στείλαντες	v-papamn-	στέλλω
στείλαντος	v-sapamg-	στέλλω
στέναζ’	V-	στέναζ’μι
στενάζειν	V-	στενάζω
στέψασα	v-sapafn-	στέπω
στέρξας	v-sapamn-	στέργω
στερεὰ	a-p---na-	στερεός
στέρνα	n-p---na-	στέρνον
στέρνα	Nb	στέρνον
στέρνα	n-p---nn-	στέρνον
στερρὰ	n-p---na-	στερρός
στεφαναφόρει	Nb	στεφαναφόρε
στέψαντες	v-papamn-	στέφω
ἐστήσαμεν	v1paia---	στέω
στηρίζῃ	V-	στηρίζῃ
στιν	V-	στιν
στωσιν	v3ppsa---	στνω
στολάς	n-p---fa-	στολή
στολὰς	n-p---fa-	στολή
στόμα	Nb	στόμα
στα	v1saia---	στος
στράτευμ	Nb	στράτευμ
στρατεύματος	Nb	στρατεύματος
στρατηγὸν	Nb	στρατηγός
στρατηγῶν	Nb	στρατηγῶν
στρατηλάτηι	Nb	στρατηλάτηι
στρέψασα	v-sapafn-	στρέπω
στραφείη	v3saop---	στρέφω
στραφείην	v1saop---	στρέφω
στραφεὶς	v-sappmn-	στρέφω
στραφέντες	v-pappmn-	στρέφω
στρέψας	v-sapamn-	στρέφω
στροφὰς	n-p---fa-	στροφή
στρωτὰ	a-p---nn-	στρωτός
στρωτὰ	a-p---na-	στρωτός
στύγους	Nb	στύγους
σύ	Pp	σύ
σὺ	Pp	σύ
Σὺ	Pp	σύ
συγγενείας	Nb	συγγενείας
συγγενέτειρ	A-	συγγενέτειρ
συγγόνωι	A-	συγγόνωι
συγγόνων	A-	συγγόνων
συγκατασκάψων	V-	συγκατασκάψων
συγκόλλως	Df	σύγκολλος
συληθήσεται	V-	συληθήσεται
συμμαρτυρήσεις	V-	συμμαρτυρέω
συμμάχοις	A-	σύμμαχος
συμφορά	Nb	συμφορά
συμφορὰ	Nb	συμφορά
συμφοραῖς	Nb	συμφορά
συμφορὰς	Nb	συμφορά
συμφορᾶς	Nb	συμφορά
συμφορὰς	Nb	συμφορὰ
συμφορᾶι	Nb	συμφορᾶ
συμφορᾶς	Nb	συμφορᾶς
σὺν	R-	σύν
συνάγαγεν	V-	συνάγαγεν
συνεκτραφεὶς	V-	συνεκτρέφω
συνεξαίρει	A-	συνεξαίρες
συνεργοὺς	A-	συνεργός
συνῆψ	V-	συνῆψ
συντιθεὶς	V-	συντιίημθ
σύντομ	V-	σύντομ
συντόμως	Df	σύντομος
συντυχὼν	V-	συντυχάνω
Συρίας	Ne	συρία
σφαγείς	Nb	σφαγείς
σφαγεὶς	Nb	σφαγεὶς
σφαγὰς	Nb	σφαγή
σφαγίων	Nb	σφάγιον
σφάγιον	A-	σφάγιος
σφαλεῖσ	V-	σφαλεῖσ
σφαλερῶς	Df	σφαλερός
σφαγήσεται	v3sfim---	σφέγω
σφας	p-p---ma-	σφεῖς
σφας	p-p---fa-	σφεῖς
σφιν	p-p---md-	σφεῖς
σφισιν	p-p---md-	σφεῖς
σφίσιν	p-p---md-	σφεῖς
σφαλεὶς	v-sappmn-	σφέλω
σφενδόνας	n-p---fa-	σφενδόνη
σχετλίων	A-	σχετλῖος
σαντες	v-papamn-	σω
σεσωσμένα	v-prpena-	σώζω
σώσαντι	v-sapamd-	σώζω
σώσας	v-sapamn-	σώζω
σώσασα	v-sapafn-	σώζω
σώσατε	v2pama---	σώζω
σώσαντος	v-sapamg-	σῴζω
σώματος	Nb	σῶμα
σώμασίν	Nb	σώμασίν
σώματι	Nb	σώματι
σωτηρίων	a-p---ng-	σωτηρῖος
σωτηρίους	A-	σωτηρίους
σωφρονεστάτης	A-	σωφρονής
σωφρονέστατον	a-s---mas	σώφρων
σώσατέ	v2pama---	σώω
τα	S-	τα
τἀκεῖ	V-	τἀκέω
τἄμπαλίν	Nb	τἄμπαλίν
τἀν	S-	τἀν
τἀναντί	R-	τἀναντί
τἀνόντα	V-	τἀνόντα
τἀντεταλμέν	V-	τἀντεταλμέν
τἀπ	R-	τἀπ
τἄρ	Pp	τἄρ
ταρβεῖ	V-	ταρβεῖ
ταρβεῖν	V-	ταρβέω
ταρβῶ	V-	ταρβέω
ταφείσας	V-	ταφείθω
ταφέντ	V-	ταφέντ
ταφεὺς	Nb	ταφεὺς
τάφωι	V-	τάφωι
τάχυν’	A-	τάχυν’
τέγξας	v-sapamn-	τέγσσω
τεθνηκόσιν	v-prpamd-	τεθνήξω
τεθρίπποις	A-	τεθρίππος
τέθριππος	A-	τέθριππος
τέκνα	Nb	τέκνον
τέκνα	n-p---nn-	τέκνον
τέκνα	n-p---na-	τέκνον
τέκνα	n-p---nv-	τέκνον
ἐτεκνώσατο	v3saim---	τεκνόω
τεκόντι	v-sppamd-	τεκός
Τελαμών	Nb	τελαμών
τελεία	a-s---fn-	τελεῖος
τελείας	a-s---fg-	τελεῖος
τελεσφόρα	a-p---na-	τελεσφόρος
τελετάς	n-p---fa-	τελετή
τελετὰς	n-p---fa-	τελετή
τελέαν	v--pna---	τελέω
τελέσαντα	V-	τελέω
τελέσας	v-sapamn-	τελέω
τελέσασιν	v-papamd-	τελέω
Τεάν	a-s---fa-	τεός
τερπνά	a-p---na-	τερπνός
τερπνὰ	a-p---na-	τερπνός
τερπνὰ	a-p---nn-	τερπνός
τερπνὰς	a-p---fa-	τερπνός
τετάγμεθ	V-	τετάγμεθ
τεταγμένου	V-	τεταγμένου
τεταγμένῳ	V-	τεταγμένῳ
τετραβάμοσι	A-	τετραβάμων
ταφέντες	v-pappmn-	τέφω
ταφῆναι	v--anp---	τέφω
τεχνάσματα	Nb	τεχνάσματα
τέχνας	n-p---fa-	τέχνη
τέχνας	n-s---fg-	τέχνη
τέχνα	n-s---fn-	τέχνος
τας	p-s---fg-	τη
τας	a-p---fa-	τη
τας	v-sapamn-	τη
τας	n-p---fa-	τη
τας	n-s---fg-	τη
τάκομαι	v1spie---	τήκω
τακόμενοι	v-pppemn-	τήκω
τηλικόσδ	Pd	τηλικόσδ
τηνικαῦθ	Pd	τηνικαῦθ
τηρήσας	v-sapamn-	τηρέω
τι	x--------	τι
τεκόντας	V-	τίκτω
τιμᾶι	V-	τιμᾶι
τίμημα	Nb	τίμημα
τιμώμεν	V-	τιμώμεν
τιν	Px	τιν
τίνες	Pi	τίνες
τι	Pi	τις
τι	x--------	τις
τί	Pi	τίς
τί	x--------	τίς
Τίς	Pi	τίς
τι	Px	τὶς
τινα	Px	τὶς
τις	Px	τὶς
τλημονεστάτην	a-s---fas	τλημονής
τλημονέστατον	a-s---mas	τλημονής
τλάμων	n-s---mv-	τλήμων
τλάμων	n-s----n-	τλήμων
τλάμων	n-p---mg-	τλήμων
τλάμων	n-s---fn-	τλήμων
τλάμων	n-s---mn-	τλήμων
τλημονεστάτη	a-s---fns	τλήμων
τλησικάρδιος	A-	τλησικάρδιος
τλά	a-p---na-	τλος
τοιάδ	Pd	τοιάδ
τοιγάρ	Df	τοιγάρ
τοιγὰρ	Df	τοιγάρ
Τοιγὰρ	Df	τοιγάρ
τοίαν	a-s---fa-	τοῖος
τοίας	a-p---fa-	τοῖος
τοιάδε	Pd	τοιόσδε
τόλμα	V-	τόλμα
τόλμας	v2spia---	τόλμη
τολμητά	a-p---nn-	τολμητός
τὸνπάθει	V-	τὸνπάθει
τόξα	n-p---na-	τόξον
τόξα	n-p---nn-	τόξον
τα	a-p---na-	τος
τα	p-p---na-	τος
ταν	a-s---fa-	τος
τόσα	d--------	τόσος
τόσα	a-p---na-	τόσος
τρία	m-p---nn-	τρεῖς
τρισὶ	m-p---md-	τρεῖς
τρισὶν	Ma	τρεῖς
τριῶν	a-p---fg-	τρεῖς
τριῶν	m--------	τρεῖς
τριῶν	a-p---mg-	τρεῖς
τριῶν	Ma	τρεῖς
τετραμμένου	v-srpemg-	τρέπω
τράπε	n-s---fa-	τρέπω
τραπεὶς	v-sappmn-	τρέπω
τραπέσθαι	v--anm---	τρέπω
τραπόμενος	v-sapmmn-	τρέπω
τεθραμμένον	v-srpema-	τρέφω
τεθραμμένον	v-srpena-	τρέφω
τραφεὶς	v-sappmn-	τρέφω
τράφη	v3saip---	τρέφω
τραφῆναι	v--anp---	τρέφω
τράφης	v2saip---	τρέφω
δραμοῦσα	v-sapafn-	τρέχω
δραμὼν	v-sapamn-	τρέχω
ἔδραμε	v3saia---	τρέχω
τρέσαντα	v-sapama-	τρέω
τρέσας	v-sapamn-	τρέω
τρίβων	V-	τρίβω
τρίγονοι	A-	τρίγονος
τρίτον	Mo	τρίτος
τριχὸς	A-	τριχὸς
Τροία	Ne	τροία
τρομερὰ	a-p---na-	τρομερός
τρομερὰ	a-p---nn-	τρομερός
τρομερὰν	a-s---fa-	τρομερός
τροπὰς	n-p---fa-	τροπή
τροφάς	n-p---fa-	τροφή
τροφὰς	n-p---fa-	τροφή
Τροφωνίου	n-s---mg-	Τροφωνῖος
τρῴας	n-p---ma-	τρῴ
Τρωίας	a-p---fa-	Τρωῖος
Τρωσί	n-p---md-	τρώς
Τρωσίν	n-p---md-	τρώς
τρώσασαν	v-sapafa-	τρώω
Τυνδαρὶς	Ne	Τυνδαρὶς
τυραννίδι	Nb	τυραννίς
τύραννος	Nb	τύραννος
τυφλωθὲν	V-	τυφλωθὲν
τυφὼς	Nb	τυφώς
τύχηι	Nb	τύχηι
τύχοιτε	V-	τύχω
ὕβριζ	V-	ὕβριζ
ὑβρισμέν	V-	ὑβρισμέν
ὑβρισταί	Nb	ὑβρισταί
ὑβριστὴς	Nb	ὑβριστής
ὑδάτων	Nb	ὕδωρ
ὕλης	Nb	ὕλη
Ὕλλος	Ne	ὕλλος
ὑμᾶς	Pp	ὑμεῖς
ὑμῖν	Pp	ὑμεῖς
Ὑμῖν	Pp	ὑμεῖς
Ὑμέναι	F-	Ὑμέναι
ὑμνωιδεῖ	V-	ὑμνωιδεῖ
Ὑμήν	Pp	ὑμός
ὕπατοί	A-	ὕπατος
ὑπ’	R-	ὑπό
ὑπὸ	R-	ὑπό
ὑφ’	R-	ὑπό
συὸς	n-s---mg-	ὗς
ὑστέρου	A-	ὑστέρος
ὕστερον	A-	ὕστερος
ὑστέρωι	A-	ὑστέρωι
ὕφασμ	V-	ὕφασμ
ὑφέρπει	V-	ὑφέρπω
φανερὸς	A-	φανερός
φανερώτατον	A-	φανερώς
φαρμάκων	Nb	φαρμάκον
φάρη	n-p---na-	φᾶρος
φας	x--------	φας
φά	Nb	φάς
φασγάνωι	Nb	φασγάνω
φάσματα	Nb	φάσμα
φασμάτων	Nb	φάσμα
φάτιν	Nb	φάτις
φανείη	v3saop---	φένω
φανεὶς	v-sappmn-	φένω
φερνάς	n-p---fa-	φερνή
φερνὰς	n-p---fa-	φερνή
φερνὰς	a-p---fa-	φερνός
Φερσεφόνας	n-p---ma-	Φερσεφόνες
φερούσας	v-pppafa-	φέρω
φάμα	n-s---fn-	φήμη
Φάμα	n-s---fv-	φήμη
φήμας	n-p---fa-	φήμη
φήνασθαι	v--pne---	φήνω
φθάνειν	V-	φθάνω
φθαρέντες	v-pappmn-	φθέρω
φθάνοις	v2saoa---	φθνήσκω
φθογγὰ	n-s---fn-	φθογγή
φθογγάς	n-p---fa-	φθογγή
φθογγὰς	n-p---fa-	φθογγή
φθονερὰν	a-s---fa-	φθονερός
φθονήσας	v-sapamn-	φθονέω
Φιλοκτήτης	Nb	φιλοκτήτης
φίλα	A-	φίλος
φίλοις	A-	φίλος
φίλοισι	A-	φίλος
φίλον	A-	φίλος
φίλτατον	A-	φίλος
φίλως	Df	φίλος
φιλοψυχοῦσ	V-	φιλοψυχοῦσ
φιλτάτους	A-	φίλς
φιλτάτης	A-	φιλτάτης
φιλτάτοις	A-	φιλτάτοις
φιλτάτου	A-	φίλτατος
φιλτάτους	A-	φιλτάτους
φίλτερον	A-	φίλτερος
φλογί	Nb	φλογί
φλογωπὰ	a-p---na-	φλογωπός
φλόγα	n-s---ma-	φλόξ
φλόγα	n-s---fa-	φλόξ
φλογὶ	n-s---md-	φλόξ
φλογὶ	n-s---fd-	φλόξ
φλογί	n-s---fd-	φλώγ
φοβερὰ	a-p---na-	φοβερός
φοβερὰ	a-s---fn-	φοβερός
φοβερὰν	a-s---fa-	φοβερός
φόβας	n-p---fa-	φόβη
Φοινίκας	Nb	Φοινίξ
φοινίῳ	Ne	φοινίος
φόνιος	a-s---mn-	φόν
Φονέα	Nb	φονεύς
φονίᾳ	a-p---na-	φονῖος
φονίαν	a-s---fa-	φονῖος
φονίας	a-p---fa-	φονῖος
φονίας	n-p---fa-	φονῖος
φονίας	a-s---fg-	φονῖος
φονίου	a-s---ng-	φονῖος
φονίου	n-s---mg-	φονῖος
φονίου	a-s---mg-	φονῖος
φονίους	a-p---ma-	φονῖος
φονίῳ	a-s---nd-	φονῖος
φονίων	a-p---ng-	φονῖος
φόνιον	A-	φόνιος
φονίωι	A-	φονίωι
φορβὰν	n-s---ma-	φορβή
Φόρβας	n-p---fa-	Φόρβη
φορώτατος	a-s---mns	φορώς
φράζ	V-	φράζ
φράζ	V-	φράζμι
φράζωμεν	V-	φράζωμεν
φράσεις	V-	φράσεις
φρένα	n-s---ma-	φρήν
φρένα	n-s---fa-	φρήν
φρένας	n-p---ma-	φρήν
φρένας	n-p---fa-	φρήν
φρενί	n-s---fd-	φρήν
φρεσίν	n-p---fd-	φρήν
φρεσίν	n-p----d-	φρήν
φρεσὶν	n-p---fd-	φρήν
φροιμιάζηι	V-	φροιμιάζηι
φρονήσας	v-sapamn-	φρονέω
φρόντιζ’	V-	φρόντιζ’
φρόντιζ’	V-	φρόντιζ’μι
Φρύγια	Ne	Φρύγια
Φρυγῶν	Nb	Φρυγῶν
Φρυξὶ	Nb	Φρυξὶ
φυγῆς	Nb	φυγῆς
φυλακὰς	Nb	φυλακή
φύλακας	Nb	φύλαξ
φυλάξαι	V-	φυλάσσω
φυλλὰς	Nb	φυλλὰς
φὺς	Nb	φύς
φυσήματι	Nb	φυσήμα
φυσήματα	Nb	φυσήματα
φύσιν	Nb	φύσιν
φωνήσαντος	v-sapamg-	φωνέω
φωνήσασα	v-sapafn-	φωνέω
φωνὰς	n-p---fa-	φωνή
φωτὶ	n-s---md-	φώς
χαλᾶτε	V-	χαλάω
χαλεποῦ	A-	χαλεπός
χαλεπώτατα	A-	χαλεπώς
χαλκέων	Nb	χαλκεύς
χαλκόπους	Nb	χαλκόπους
χαράσσου	V-	χαράσσου
χάριν	Nb	χάριν
χαρμονᾶι	V-	χαρμονᾶι
κέχυται	v3srie---	χέω
χέασθαι	v--pne---	χέω
χυθέντος	v-sappmg-	χέω
χηλὰς	n-p---fa-	χηλή
χήραν	a-s---fa-	χῆρος
χθονίαν	a-s---fa-	χθονῖος
χθονίας	a-s---fg-	χθονῖος
χθονίοις	a-p---nd-	χθονῖος
χθονίου	a-s---mg-	χθονῖος
Χθονίας	a-p---fa-	Χθονῖος
χθόνα	Nb	χθών
χθόνα	n-s---fa-	χθών
χθονί	n-s---fd-	χθών
χθονὶ	n-s---fd-	χθών
χλοερὰ	a-p---na-	χλοερός
χλόα	Nb	χλόον
χλωρά	a-p---nn-	χλωρός
χλωρὰν	a-s---fa-	χλωρός
χνας	n-p---fa-	χνη
χνόας	n-p---fa-	χνόη
χοάς	n-p---fa-	χοή
χοὰς	n-p---fa-	χοή
χοὰς	Nb	χοή
Χοὰς	n-p---fa-	χοή
χοιράδες	Nb	χοιράδες
χρείας	Nb	χρεία
χρήσας	v-sapamn-	χρήδω
χρηστά	a-p---na-	χρηστός
χρηστά	a-p---nn-	χρηστός
χρηστὰ	a-p---na-	χρηστός
χρηστὰ	a-p---nn-	χρηστός
χρηστὰς	a-p---fa-	χρηστός
χρήσας	v-sapamn-	χρήω
χρονίζοντ	V-	χρονίζοντ
χρονίαν	a-s---fa-	χρονῖος
χρόνια	A-	χρόνιος
χρόνιοι	A-	χρόνιος
χρόνιον	A-	χρόνιος
Χρύσης	Ne	χρύσης
χρυσοῦ	Nb	χρυσός
χρυσῶι	A-	χρυσῶ
χρόα	Nb	χρώς
χρόα	n-s---ma-	χρώς
χροΐ	n-s---md-	χρώς
χροῒ	n-s---md-	χρώς
χρωτὶ	n-s---md-	χρώς
χώσαντες	v-papamn-	χώζω
χώρας	Nb	χώρα
χωρίσας	V-	χωρίσας
ψακάδι	Nb	ψακάς
ψυχὰς	Nb	ψυχή
ψυχῇ	Nb	ψυχή
ψυχήν	Nb	ψυχή
ψυχῆς	Nb	ψυχή
ψυχορραγοῦντα	V-	ψυχορραγέω
ψύχει	n-s---nd-	ψῦχος
ὤσασθαι	v--anm---	ὠθέω
ὤικτιρ	V-	ὤικτιρ
ὠλένας	n-p---fa-	ὠλένη
ὠμὰ	a-p---na-	ὠμός
ὠνόμαξεν	V-	ὠνόμαξεν
ὠνομάσθης	V-	ὠνομάσθης
ὡρίσαντ	V-	ὡρίσαντ
ὡρμήσαμεν	v1paia---	ὡρμήω
ὤταν	G-	ὤταν
ὤτι	x--------	ὤτις
